userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,nsi
902921690,306063,6744584,199,1293,12.995,0.0328,0.893939,0.0121703853955375,0.0339261604809961,0.0009456792578567,0.9654965496549656,0.6139,0.9388264669163544,au,0.44
761994583337230336,67975,655856,89,788,17.7079,0.1006,0.7272730000000001,0.0201487491548343,0.0284926131341485,0.0003773386100647,0.972997299729973,0.3509,0.9875156054931336,us,0.4
1535955449421389829,16794,247215,88,1538,34.9545,0.2009,0.977011,0.0764029749830966,0.0205200431264751,0.0048001645440307,0.9645964596459646,0.7105,0.6716604244694133,us,0.45
767187564646178816,603,4541,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,us,0.38
1454370323567022085,76552,1320647,34,120,7.0588,0.107,0.787879,0.0192021636240703,0.0675803521995473,0.002096968043313,0.9690969096909692,0.893,0.9288389513108616,au,0.47
513002997,364872,5453453,307,1315,8.5668,0.014,0.771242,0.0044624746450304,0.0857536934329257,0.0015753995674373,0.9822982298229824,0.6421,0.5268414481897628,au,0.38
1479743869281468416,49892,380962,39,87,4.4615,0.0587,0.6578949999999999,0.0086544962812711,0.0438802171864831,1.1787057394966535e-05,0.96009600960096,0.5156000000000001,0.916354556803995,us,0.4
1423670010187235336,62,575,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,uk,0.38
1247261691693248512,172399,3189178,127,549,8.6457,0.0343,0.849206,0.0081135902636916,0.0376715588666673,0.0007589666278555,0.9894989498949897,0.8936,0.937578027465668,au,0.47
11895822,59836,1162806,51,155,6.0784,0.0608,0.76,0.0121703853955375,0.0591881732441016,0.0002775188039702,0.9672967296729672,0.5405,0.8801498127340824,au,0.41
1237038392325615616,34586,336511,32,88,5.5,0.0887,0.548387,0.0075726842461122,0.0648431808689402,0.0004718936088682,0.9093909390939094,0.0652,0.965043695380774,us,0.33
3306432051,210146,4298028,128,2422,37.8438,0.149,0.944882,0.0444895199459093,0.0457839985235981,0.0089618536859991,0.9717971797179716,0.8795,0.8813982521847691,uk,0.49
2148216619,33364,593932,47,185,7.8723,0.0856,0.934783,0.0160919540229885,0.0541159558245024,0.0001443826392368,0.976897689768977,0.8128,0.8963795255930087,au,0.47
1436164875093430280,89497,1773287,63,482,15.3016,0.1234,0.983871,0.0186612576064908,0.066072868201995,0.0011357176478208,0.933093309330933,0.7172000000000001,0.6504369538077404,us,0.44
1279958091753283585,100086,1131502,78,1733,44.4359,0.2885,0.987013,0.0765382014874915,0.0477732557574815,0.009264239302978,0.9582958295829584,0.7967,0.4769038701622972,us,0.46
1145871518443769862,60087,1117369,43,91,4.2326,0.0504,0.52381,0.0081135902636916,0.0147931580429904,0.0002056565348074,0.9933993399339934,0.9556,0.9263420724094882,us,0.43
1059333805,97838,1220658,63,279,8.8571,0.0714,0.83871,0.0118999323867478,0.0196516857206686,0.0101065497105396,0.9456945694569456,0.3248,0.7378277153558053,us,0.37
1346550664005083142,52404,469528,33,71,4.303,0.0672,0.625,0.0083840432724814,0.037139277145882,0.0126135968842588,0.9786978697869788,0.9335,0.951310861423221,us,0.45
1173778757666164739,159684,2156265,97,555,11.4433,0.0596,0.833333,0.0109533468559837,0.0575544180354142,0.0019227710824301,0.9690969096909692,0.4736,0.7790262172284644,us,0.4
817692560902602752,365387,7226767,313,1245,7.9553,0.0127,0.814103,0.0090601757944557,0.0669509387778889,0.0113709965973479,0.9984998499849984,0.9851,0.9950062421972534,au,0.49
339290204,109902,1388937,69,186,5.3913,0.0396,0.75,0.0050033806626098,0.0316863034588598,0.000539395959493,0.9810981098109812,0.739,0.8838951310861424,us,0.43
1175898739157827584,123720,2406759,73,188,5.1507,0.0358,0.75,0.0060851926977687,0.0267364719823608,0.0015897602694678,0.9906990699069907,0.9202,0.9188514357053684,au,0.46
1086105203550633984,81691,1404931,49,133,5.4286,0.0565,0.604167,0.0078431372549019,0.041653958602469,0.0006246200275173,0.9762976297629764,0.6901999999999999,0.8551810237203495,us,0.4
76169558,104333,1359682,55,127,4.6182,0.0428,0.6851849999999999,0.0068965517241379,0.0664808213456625,0.0002288545919337,0.991899189918992,0.8786,0.9101123595505618,us,0.45
359221400,64584,1277914,37,58,3.1351,0.0435,0.5,0.0051386071670047,0.0415238021232989,0.0007197978718262,0.9993999399939996,0.9984,0.9937578027465668,au,0.45
1314041952174780421,73985,1125921,54,286,10.5926,0.0999,0.830189,0.0159567275185936,0.0316571639485979,0.0045832027757098,0.9444944494449444,0.6331,0.83270911360799,us,0.42
1353027985880866818,32956,559636,38,325,17.1053,0.2312,0.972973,0.0454361054766734,0.0737579283750837,0.0084007521482323,0.925892589258926,0.6780999999999999,0.8826466916354557,us,0.48
34453956,14337,185082,24,53,4.4167,0.096,0.3043479999999999,0.0117647058823529,0.0146571736617679,1.6099968724929368e-05,0.8823882388238824,0.0613,0.9950062421972534,us,0.3
3007445945,145510,2340161,102,585,11.4706,0.0568,0.930693,0.0104124408384043,0.0535234524491758,0.0002844993743516,0.961896189618962,0.4184,0.7016229712858926,uk,0.39
1410786921538719749,26688,162586,78,392,10.0513,0.0653,0.87013,0.0225828262339418,0.0175944362961739,0.0001857489822381,0.954095409540954,0.4355,0.8002496878901373,au,0.4
371882114,392840,7044188,196,872,8.898,0.0228,0.825641,0.0050033806626098,0.0423766184569657,0.0004200799138987,0.9861986198619862,0.6975,0.7091136079900124,au,0.41
882586856289947648,63062,792122,49,155,6.3265,0.0659,0.666667,0.014604462474645,0.0553650694977319,0.0004607764041866,0.9654965496549656,0.6033999999999999,0.8813982521847691,us,0.41
1082238940382445568,217613,2378572,133,1492,22.4361,0.085,0.962121,0.0421906693711967,0.0601225802065019,0.000638804452518,0.972097209720972,0.5172,0.735330836454432,au,0.42
1357609288798138371,205187,3783087,142,1632,22.9859,0.0815,0.914894,0.0240703177822853,0.0458655891523316,0.0042575720943966,0.984998499849985,0.7649,0.9987515605493134,au,0.48
901561968238239745,26375,446917,47,264,11.234,0.1221,0.847826,0.0250169033130493,0.0188998863559099,0.0001279771236602,0.9324932493249324,0.4784,0.7303370786516854,au,0.39
1345263974363791361,54425,498746,83,279,6.7229,0.041,0.780488,0.011629479377958,0.0183365224908453,7.437715478837807e-05,0.9627962796279628,0.7142,0.8302122347066168,au,0.42
