userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,type,alpha-6,alpha-8
228193061,164022,2517361,104,868,16.6923,0.081,0.92233,0.01757944557133198,0.037413188542344565,0.0010071999412691944,0.9750975097509751,0.5177,0.8526841448189763,us,rural,0.55,0.43
1445936124136935426,130466,1075800,90,476,10.5778,0.0594,0.820225,0.01162947937795808,0.06718599749400211,0.00019210670711417545,0.972997299729973,0.3981,0.8901373283395755,us,rural,0.53,0.4
1129150345165312005,211100,3016194,176,1885,21.4205,0.0612,0.8,0.01933739012846518,0.034413761619379715,0.0040205500000805,0.9867986798679867,0.6492,0.9900124843945068,us,urban,0.58,0.44
1158986365700313088,165526,2083421,86,139,3.2326,0.019,0.517647,0.0037863421230561185,0.02587199984458928,0.0005998354771225143,0.9945994599459946,0.8855999999999999,0.9250936329588015,us,urban,0.56,0.42
3497896575,32783,455135,15,28,3.7333,0.1333,0.642857,0.01460446247464503,0.10917603178149253,0.003184738339018875,0.9867986798679867,0.9478,0.9063670411985019,us,rural,0.6,0.47
451839919,269215,3983047,201,1157,11.5124,0.0288,0.935,0.009330628803245436,0.024341204238827425,0.0008768372018052225,0.9816981698169817,0.7274,0.7153558052434457,au,au,0.57,0.43
949494386877845504,594,13193,4,3,1.5,0.25,0.0,0.0,0.0058279020523928395,0.0,1.0,1.0,1.0,au,au,0.5,0.41
1309431018722476033,5146,58037,13,34,5.2308,0.2179,0.666667,0.04056795131845841,0.040618534671160625,0.0005755327506092633,0.7866786678667866,0.09850000000000003,0.9937578027465668,au,au,0.44,0.36
834996949,137919,2463457,108,695,12.8704,0.0601,0.9626170000000001,0.01284651791751183,0.06157955571960021,0.0010699780674944298,0.9783978397839784,0.5787,0.8389513108614233,au,au,0.57,0.44
21825473,24225,314592,10,10,2.0,0.1111,0.22222200000000003,0.00581473968897904,0.00874185307858926,5.875900994499769e-05,1.0,1.0,1.0,us,urban,0.54,0.42
3742547896,90449,1028818,55,283,10.2909,0.0953,0.888889,0.010547667342799187,0.045269200508970105,0.0035033414427426413,0.9657965796579658,0.5884,0.9038701622971286,us,urban,0.57,0.44
232166336,812,8278,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,uk,urban,0.5,0.38
2442277834,76135,1099179,80,254,6.35,0.0402,0.696203,0.014198782961460446,0.02931628995755345,0.001474968667639332,0.9654965496549655,0.44999999999999996,0.8039950062421972,uk,urban,0.49,0.38
377034246,67651,1348465,71,285,8.0282,0.0573,0.842857,0.012440838404327248,0.030242926383883907,9.044186810734043e-05,0.9600960096009601,0.5983,0.735330836454432,au,au,0.53,0.4
1520881145889570817,97598,1632113,79,160,4.0506,0.026,0.602564,0.004462474645030426,0.04474468932425476,0.00026917502455803445,0.987998799879988,0.749,0.9126092384519351,au,au,0.55,0.42
828012568698425345,132831,1563893,85,885,20.8235,0.1239,0.9047620000000001,0.025828262339418522,0.05770400085475897,0.002239587912251598,0.961896189618962,0.6967,0.8414481897627966,us,rural,0.58,0.45
2389880110,107470,1616925,61,128,4.1967,0.035,0.666667,0.007572684246112237,0.031476498984973726,7.651598275037599e-05,0.9906990699069907,0.8607,0.8963795255930087,uk,urban,0.58,0.44
722366526,25814,480191,17,27,3.1765,0.0993,0.5,0.007167004732927654,0.03807562674229988,0.00036234331072682274,0.9786978697869787,0.8833,0.8601747815230961,us,rural,0.54,0.42
1140139783198396416,40191,882216,29,71,4.8966,0.0874,0.714286,0.01663286004056795,0.02386720153856614,0.0006043834244922572,0.9336933693369337,0.7723,0.7128589263420724,au,au,0.53,0.41
