userids,tweets,tokens,nodes,edges,avg_degrees,densities,outliers,social_similarities,interactions,interactions_p,betweenness_mean,betweenness_range,closeness,country,type
1488915742510796807,46401,955316,43,318,14.7907,0.1761,14.2857,0.0223,1.5989,21.3382,0.0337,0.2608,0.0416,uk,rural
24369793,43765,580598,31,95,6.129,0.1022,20.0,0.0102,2.0387,1.7841,0.0152,0.3953,0.007,uk,rural
2249850753,65793,553031,39,481,24.6667,0.3246,5.2632,0.0439,5.3415,3.3732,0.0153,0.2341,0.0009,uk,urban
21323794,40140,619368,37,72,3.8919,0.0541,44.4444,0.0039,3.6458,7.6634,0.0039,0.1349,0.0072,uk,rural
1489266171304189954,69472,498294,63,364,11.5556,0.0932,4.8387,0.015,2.1493,35.2247,0.0157,0.1071,0.014,uk,urban
79142206,165367,2160575,118,504,8.5424,0.0365,23.0769,0.0063,1.513,8.7262,0.0121,0.4933,0.0279,uk,rural
1408760794557435911,74010,1179954,51,140,5.4902,0.0549,18.0,0.0054,2.8243,6.518,0.0085,0.188,0.0164,uk,rural
307261061,56564,855196,62,247,7.9677,0.0653,39.3443,0.0154,0.9949,0.7963,0.0133,0.6044,0.01,uk,urban
4891628361,117865,1532494,112,730,13.0357,0.0587,5.4054,0.0131,3.0971,21.4497,0.0117,0.4829,0.0504,uk,urban
263833375,120653,1735931,83,325,7.8313,0.0478,14.6341,0.008,2.6482,2.0982,0.0102,0.5547,0.0173,uk,urban
330454646,152671,2008966,100,354,7.08,0.0358,22.2222,0.005,5.9557,13.9276,0.0099,0.3071,0.0251,uk,urban
1448912530391420948,72454,854500,53,284,10.717,0.103,9.6154,0.0129,2.0743,71.9355,0.0201,0.4465,0.011,uk,urban
804387395240071172,144976,1970894,155,1578,20.3613,0.0661,7.7922,0.0091,2.0647,5.98,0.0077,0.6413,0.015,uk,urban
1335640587714834432,213401,3377298,190,4518,47.5579,0.1258,1.0582,0.0363,2.6939,21.0798,0.0062,0.2914,0.0089,uk,rural
820689115549204480,67247,1042452,37,111,6.0,0.0833,27.7778,0.0069,1.7081,2.5909,0.0259,0.4426,0.0282,uk,rural
718981817777459200,80130,1096500,71,738,20.7887,0.1485,5.7143,0.0213,1.559,38.5049,0.0167,0.2396,0.0056,uk,rural
2253737672,2806,32494,1,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,uk,urban
1479482330414735363,80580,1050920,80,352,8.8,0.0557,25.3165,0.0068,1.4671,9.1364,0.0123,0.8731,0.0048,uk,rural
1433774987366830087,60061,964133,37,99,5.3514,0.0743,27.7778,0.0127,1.7848,1.6652,0.0069,0.2139,0.0139,uk,rural
202095222,150239,2393864,118,422,7.1525,0.0306,24.7863,0.0054,2.5314,1.827,0.0089,0.5688,0.0253,uk,rural
1454550197686648833,6931,86149,9,9,2.0,0.125,100.0,0.0013,0.9,0.0,0.0139,0.125,0.013,uk,rural
55683935,94226,1504846,42,98,4.6667,0.0569,21.9512,0.0069,2.0762,2.0922,0.0088,0.2685,0.0109,uk,urban
19462021,30026,447457,20,36,3.6,0.0947,42.1053,0.0075,1.3632,0.8905,0.0072,0.1404,0.0081,uk,urban
1385929577759920129,150081,1501546,83,407,9.8072,0.0598,18.2927,0.0088,3.4104,26.9621,0.0073,0.3317,0.01,uk,urban
232166336,812,8278,1,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,uk,urban
363094242,39546,512640,80,373,9.325,0.059,29.1139,0.0144,1.3061,4.9041,0.0121,0.8478,0.0051,uk,rural
1460288905278853127,23466,298627,16,22,2.75,0.0917,86.6667,0.0013,2.6455,0.0899,0.0202,0.3238,0.0085,uk,rural
1444406358149902341,41465,538156,26,49,3.7692,0.0754,64.0,0.0079,5.7077,2.4754,0.0218,0.3061,0.0213,uk,urban
954053325548326912,17289,249635,11,12,2.1818,0.1091,80.0,0.0058,1.98,0.0,0.0091,0.1,0.0122,uk,urban
1259758470653501441,50094,393946,53,125,4.717,0.0454,25.0,0.0078,6.8,57.9333,0.0067,0.1594,0.0087,uk,urban
1144554315677351936,134193,1805731,64,223,6.9688,0.0553,25.3968,0.0064,4.7021,0.3928,0.0086,0.3049,0.0076,uk,urban
1401283926224687105,76494,1176121,40,535,26.75,0.3429,10.2564,0.0419,8.6676,114.9292,0.0225,0.2075,0.0187,uk,rural
1433049675804954628,212999,3117936,181,1654,18.2762,0.0508,9.4444,0.0202,1.5568,63.5977,0.0122,0.5815,0.0166,uk,urban
1158854767227133954,98574,1876443,233,9673,83.03,0.1789,0.8621,0.0562,0.8772,412.5357,0.0042,0.1988,0.01,uk,urban
1303865466688081920,84327,1097950,70,297,8.4857,0.0615,37.6812,0.0065,9.1444,31.92,0.0116,0.597,0.0121,uk,urban
1402272563196305414,114595,1299116,77,1377,35.7662,0.2353,15.7895,0.0427,3.3287,8509.3333,0.0099,0.2087,0.0154,uk,urban
1327389070977339394,17512,157778,12,21,3.5,0.1591,36.3636,0.0141,0.3,2.0,0.0091,0.0727,0.0117,uk,rural
41858471,40151,659879,21,61,5.8095,0.1452,15.0,0.0111,3.1962,0.9326,0.0172,0.3232,0.0063,uk,rural
1420504838429974536,12828,159751,17,35,4.1176,0.1287,43.75,0.0065,7.2,0.0,0.0336,0.2007,0.0211,uk,urban
762591360792788992,14598,252452,8,12,3.0,0.2143,57.1429,0.007,0.975,0.3448,0.0387,0.2857,0.0198,uk,rural
1466451292407181319,61102,939654,43,171,7.9535,0.0947,11.9048,0.0123,1.8618,125.6,0.0347,0.2822,0.0013,uk,urban
2527132590,61979,955945,52,226,8.6923,0.0852,31.3725,0.0087,1.1842,0.0,0.0173,0.3576,0.006,uk,rural
1447188409014005765,68892,648219,73,365,10.0,0.0694,16.6667,0.0456,1.7952,25.3023,0.0135,0.7575,0.01,uk,rural
1296356456548245504,41495,740687,76,876,23.0526,0.1537,2.6667,0.0367,1.7586,26.7901,0.0126,0.4065,0.0067,uk,urban
943747078072733696,130623,1757467,99,543,10.9697,0.056,17.3469,0.0136,4.8845,3.2523,0.0093,0.6022,0.0175,uk,rural
1491019688272408580,44738,610345,35,404,23.0857,0.3395,0.0,0.0589,4.3469,8.2052,0.0274,0.181,0.0074,uk,urban
1435599218572513280,57318,860455,62,307,9.9032,0.0812,11.4754,0.0127,1.5111,50.0,0.0203,0.4485,0.0261,uk,urban
1450796072276742147,21993,420446,32,224,14.0,0.2258,6.4516,0.0331,1.1171,19.5789,0.0294,0.2166,0.0061,uk,urban
709299230071001088,165019,2683859,121,387,6.3967,0.0267,22.5,0.0076,2.0158,3.9179,0.0163,0.4261,0.0295,uk,urban
393640748,63533,892211,66,360,10.9091,0.0839,16.9231,0.0147,1.908,3.1659,0.0163,0.4988,0.0308,uk,rural
1226981106442002433,6680,68937,9,28,6.2222,0.3889,25.0,0.0491,1.5333,10.5,0.0556,0.4062,0.0002,uk,rural
1499012768372076545,106312,1879756,78,328,8.4103,0.0546,29.8701,0.0062,3.6984,28.0253,0.0056,0.275,0.0097,uk,rural
1406597781272281092,20421,260346,22,41,3.7273,0.0887,42.8571,0.0059,,0.0,0.0184,0.3976,0.0057,uk,urban
772541258690654208,22239,403769,32,47,2.9375,0.0474,61.2903,0.0071,11.8,0.0,0.0018,0.0323,0.0053,uk,urban
931625301922238465,74136,1290814,102,1216,23.8431,0.118,4.9505,0.0223,1.2681,8.4726,0.0088,0.4068,0.0108,uk,rural
2946192609,261842,2926808,148,1904,25.7297,0.0875,6.1224,0.0193,3.5817,341.5287,0.0096,0.3311,0.0052,uk,urban
143039950,22690,276133,16,39,4.875,0.1625,26.6667,0.0067,8.4438,0.4574,0.033,0.3548,0.0238,uk,rural
703253289450803200,88845,1391680,66,314,9.5152,0.0732,12.3077,0.0093,2.42,1.8488,0.0195,0.6449,0.0234,uk,rural
1416460194230452227,246117,3847999,242,8809,72.8017,0.151,2.4896,0.0294,1.1956,66.1632,0.0043,0.1882,0.0069,uk,rural
881528928984236032,66416,621383,46,576,25.0435,0.2783,4.4444,0.0344,4.3787,82.8214,0.0167,0.3717,0.0002,uk,rural
1138162098217848832,128897,2112296,112,826,14.75,0.0664,15.3153,0.0118,2.5653,10.6875,0.0126,0.442,0.0262,uk,rural
1467120456725676032,235080,3060553,198,1013,10.2323,0.026,12.1827,0.0074,2.5455,212.4773,0.0094,0.5631,0.0318,uk,urban
1300425178325962752,12449,113371,9,15,3.3333,0.2083,100.0,0.0016,0.5,0.0,0.0972,0.875,0.003,uk,urban
