networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
1331735225617944576,87561,861208,59,348,11.7966,0.1017,27.5862,0.0077,2.9569,21.3488,0.0122,0.5513,0.0038,us,urban,0.41
725005986,115874,1060960,84,332,7.9048,0.0476,55.4217,0.0058,2.0485,12.2549,0.0101,0.8178,0.0009,us,urban,0.34
2927202776,38729,453801,20,33,3.3,0.0868,42.1053,0.0077,1.43,0.4229,0.0129,0.2544,0.01,us,rural,0.41
1076548775810875392,48129,681722,65,543,16.7077,0.1305,20.3125,0.018,1.7802,10.5084,0.0143,0.5428,0.0116,us,rural,0.41
1493403464696795140,9576,93705,12,23,3.8333,0.1742,36.3636,0.0136,0.0,0.0,0.0492,0.5864,0.006,us,rural,0.38
1422957994409484289,68960,679806,37,156,8.4324,0.1171,16.6667,0.0128,4.3649,10.7455,0.0349,0.573,0.0346,us,urban,0.37
1256475666402496512,3536,34499,3,2,1.3333,0.3333,100.0,0.0078,0.0,0.0,0.0,0.0,0.0,us,urban,0.42
1004771889263398912,103303,890177,92,2705,58.8043,0.3231,0.0,0.0703,2.2208,134.47,0.0075,0.0871,0.0009,us,rural,0.54
871785245074497536,196357,2207800,133,2435,36.6165,0.1387,10.6061,0.0348,2.7946,86.5636,0.0087,0.3711,0.0054,us,rural,0.46
1391451393395920896,121794,1720272,71,393,11.0704,0.0791,7.1429,0.0131,6.0519,20.0154,0.02,0.3883,0.0265,us,rural,0.42
552305077,237573,3449393,141,1601,22.7092,0.0811,8.5714,0.0157,2.5953,14.6693,0.0111,0.5098,0.0262,us,rural,0.4
553994461,123895,1559864,80,206,5.15,0.0326,25.3165,0.0045,1.346,4.0778,0.0037,0.0871,0.0039,us,urban,0.46
923579166426939392,50247,619058,61,139,4.5574,0.038,51.6667,0.0073,0.8444,1.7636,0.0121,0.4959,0.0207,us,urban,0.34
1353027985880866818,32956,559636,38,325,17.1053,0.2312,2.7027,0.0336,3.7968,71.4848,0.0247,0.3219,0.0094,us,rural,0.48
819355933893599233,80066,638591,74,239,6.4595,0.0442,34.2466,0.0078,2.366,10.1964,0.0123,0.7136,0.0136,us,urban,0.35
444248995,76229,846218,55,240,8.7273,0.0808,12.963,0.0145,4.0479,0.0,0.0285,0.4076,0.0323,us,rural,0.39
81733600,140536,1696742,98,384,7.8367,0.0404,31.9588,0.0062,2.0508,1.2745,0.0077,0.6603,0.0052,us,urban,0.38
2397517547,133850,1288406,66,155,4.697,0.0361,33.8462,0.0052,2.8724,3.3385,0.0046,0.2269,0.0054,us,rural,0.43
1673451416,95731,1447493,60,296,9.8667,0.0836,22.0339,0.011,0.9032,0.0,0.0057,0.2668,0.0088,us,urban,0.44
1529484891129266176,51566,734830,54,468,17.3333,0.1635,0.0,0.0211,2.0542,163.3333,0.0169,0.1597,0.0279,us,rural,0.46
3222720818,41850,572397,32,68,4.25,0.0685,54.8387,0.0036,2.3548,0.6553,0.0185,0.5559,0.0066,us,urban,0.36
2369776593,7532,100543,9,11,2.4444,0.1528,37.5,0.0021,0.3,0.0,0.002,0.0179,0.0012,us,urban,0.47
1471987678199488513,62277,613315,82,132,3.2195,0.0199,67.9012,0.0058,1.0312,12.75,0.0028,0.1582,0.0068,us,urban,0.39
25881462,932,10514,1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,urban,0.38
1341182014859464705,185863,1975989,83,711,17.1325,0.1045,2.439,0.0171,2.7694,2.7635,0.0097,0.3349,0.0065,us,urban,0.46
1059333805,97838,1220658,63,279,8.8571,0.0714,16.129,0.0088,1.0116,86.0,0.0181,0.6752,0.021,us,urban,0.37
1337849304183136257,11052,234718,14,57,8.1429,0.3132,23.0769,0.0356,2.0667,0.6533,0.0522,0.3066,0.0005,us,urban,0.46
448519088,43976,491593,23,57,4.9565,0.1126,54.5455,0.0058,2.8122,1.9564,0.0335,0.7175,0.0059,us,urban,0.34
1654087248,217,4368,1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,urban,0.38
30978524,191778,2732303,132,550,8.3333,0.0318,21.374,0.0042,3.2223,4.4189,0.0093,0.4291,0.0193,us,urban,0.4
16934581,98028,1391177,62,182,5.871,0.0481,34.4262,0.0069,2.3636,1.4209,0.0194,0.5332,0.0349,us,rural,0.34
1396142292021374981,29197,451588,29,99,6.8276,0.1219,7.1429,0.025,6.85,22.3902,0.0339,0.4567,0.0259,us,urban,0.42
1495763741014728711,112389,1213343,67,387,11.5522,0.0875,16.6667,0.011,3.859,516.75,0.0129,0.2162,0.009,us,rural,0.46
63057190,77162,1418091,52,87,3.3462,0.0328,41.1765,0.0034,1.8462,15.0,0.0016,0.078,0.0053,us,rural,0.44
1456004124345094150,28365,251184,34,73,4.2941,0.0651,36.3636,0.0083,0.575,4.1111,0.0075,0.1463,0.0115,us,urban,0.43
1035960229,118294,1140082,65,247,7.6,0.0594,28.125,0.0061,5.4009,1.2599,0.0103,0.4735,0.0086,us,urban,0.41
1059134574200971264,94270,894901,77,308,8.0,0.0526,39.4737,0.0064,4.5397,2.1459,0.0092,0.6785,0.0007,us,rural,0.38
2650292695,91793,1197375,86,228,5.3023,0.0312,48.2353,0.0075,2.3095,2.2119,0.0109,0.4267,0.0225,us,rural,0.36
1212509305364086784,63740,679576,45,76,3.3778,0.0384,54.5455,0.0034,0.9,0.2857,0.0087,0.2569,0.0142,us,urban,0.38
4429184320,22209,222476,15,39,5.2,0.1857,42.8571,0.0077,6.6812,0.1135,0.0619,0.8397,0.0072,us,urban,0.35
1708216784,27086,420782,23,33,2.8696,0.0652,90.9091,0.0053,3.0357,0.0,0.0216,0.4502,0.01,us,urban,0.32
1086802232,47592,665201,52,119,4.5769,0.0449,50.9804,0.0062,3.9412,46.8571,0.0095,0.4534,0.0057,us,urban,0.38
1479743869281468416,49892,380962,39,87,4.4615,0.0587,34.2105,0.0064,2.2588,0.1003,0.0133,0.4844,0.0067,us,urban,0.4
4070523839,86514,803147,63,176,5.5873,0.0451,19.3548,0.0044,1.2803,0.9822,0.0166,0.5281,0.034,us,urban,0.36
1353391606053924864,39962,381931,23,103,8.9565,0.2036,31.8182,0.0375,1.9825,18.8254,0.04,0.253,0.0204,us,urban,0.42
1119955836292485120,3522,58179,4,5,2.5,0.4167,100.0,0.0029,0.625,0.0,0.1667,0.6667,0.0111,us,rural,0.27
401073530,41150,671522,23,32,2.7826,0.0632,54.5455,0.0054,2.15,1.8667,0.0003,0.0065,0.0007,us,urban,0.44
752325203422769152,30748,442768,32,154,9.625,0.1552,19.3548,0.0201,0.8538,1.4396,0.0289,0.5248,0.0172,us,urban,0.4
1291104484664455168,75285,1191248,42,444,21.1429,0.2578,0.0,0.0297,3.9424,16.5216,0.0226,0.2356,0.0111,us,urban,0.49
22579920,85243,1221817,50,218,8.72,0.089,16.3265,0.0069,4.3662,37.2716,0.0146,0.3953,0.0192,us,rural,0.42
