networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
25033907,370940,4721608,206,4300,41.7476,0.1018,5.8537,0.0269,3.2693,374.3611,0.0066,0.2435,0.0049,au,au,0.48
1304395404360859649,56026,849602,38,79,4.1579,0.0562,40.5405,0.005,1.7407,0.9421,0.0091,0.3129,0.009,au,au,0.4
1029234807077654528,191818,3116056,140,699,9.9857,0.0359,18.705,0.0084,3.7579,8.3706,0.0103,0.5931,0.0367,au,au,0.36
1395333011063726081,59205,473912,164,508,6.1951,0.019,23.3129,0.0044,0.8067,5.954,0.0035,0.0412,0.002,au,au,0.47
1458419990,273653,4447588,139,349,5.0216,0.0182,29.7101,0.0029,3.2822,4.1643,0.0007,0.0422,0.0028,au,au,0.46
892890976531791872,208505,4058658,183,632,6.9071,0.019,24.1758,0.0052,1.6219,9.6667,0.0077,0.2961,0.0181,au,au,0.41
39308849,55930,874147,125,643,10.288,0.0415,17.7419,0.0116,1.1014,2.7416,0.008,0.6506,0.0249,au,au,0.36
32345263,198069,2025052,119,228,3.8319,0.0162,44.0678,0.0009,12.33,27.0227,0.0014,0.1077,0.0054,au,au,0.46
492035953,207526,3006546,147,1545,21.0204,0.072,4.7945,0.0166,1.3203,2.2571,0.0089,0.4173,0.002,au,au,0.45
1039682317,192662,4012080,97,461,9.5052,0.0495,6.25,0.0071,4.6069,9.614,0.0269,0.2615,0.0041,au,au,0.46
987986390548758528,61017,967084,42,75,3.5714,0.0436,43.9024,0.0058,3.7519,3.6898,0.0069,0.2335,0.009,au,au,0.41
100326065,199135,3222621,145,471,6.4966,0.0226,33.3333,0.0067,2.8007,2.7325,0.0059,0.4327,0.0213,au,au,0.38
929251494,184137,2343441,190,516,5.4316,0.0144,32.2751,0.0042,5.8553,36.3382,0.0011,0.0892,0.0031,au,au,0.46
890680188,92685,1203475,76,289,7.6053,0.0507,14.6667,0.0072,1.7952,26.9259,0.0075,0.2616,0.0133,au,au,0.44
949675575215403009,89165,846639,48,172,7.1667,0.0762,21.2766,0.0057,3.6957,1.3944,0.0088,0.2913,0.005,au,au,0.45
1154929259091124224,13677,254115,9,12,2.6667,0.1667,50.0,0.0036,1.475,5.5556,0.0179,0.125,0.016,au,au,0.42
1314836276336455685,89318,1206213,74,243,6.5676,0.045,16.4384,0.0102,2.4069,4.0232,0.0089,0.3901,0.0134,au,au,0.42
1968250436,1021,13502,3,3,2.0,0.5,100.0,0.0167,0.0,0.0,0.1667,0.5,0.0,au,au,0.32
856820399291629568,174172,3936063,107,949,17.7383,0.0837,5.6604,0.0228,2.0353,8.8674,0.0087,0.0898,0.0115,au,au,0.48
1233791565497171968,46388,757211,54,359,13.2963,0.1254,5.6604,0.0453,2.0625,12.3456,0.0228,0.4886,0.0155,au,au,0.43
124434059,223310,2555303,119,569,9.563,0.0405,15.2542,0.0075,3.4107,3.8487,0.0049,0.5351,0.0028,au,au,0.42
23229308,264040,4299289,212,960,9.0566,0.0215,17.5355,0.005,1.2122,5.1546,0.0098,0.4558,0.0322,au,au,0.37
1455346774344757250,63779,432356,159,506,6.3648,0.0201,18.3544,0.0044,1.5167,0.0,0.006,0.1451,0.0088,au,au,0.45
343680593,56927,1217081,26,39,3.0,0.06,44.0,0.0084,19.325,0.0,0.0,0.0,0.0,au,au,0.5
1569477448529756161,30683,802291,17,29,3.4118,0.1066,31.25,0.0145,0.4818,4.8889,0.0042,0.0583,0.0067,au,au,0.46
23520903,137249,2425227,144,508,7.0556,0.0247,19.5804,0.0088,1.489,2.3828,0.0072,0.5546,0.0252,au,au,0.37
533187906,270871,4334769,212,1117,10.5377,0.025,15.6398,0.0065,1.8537,3.5939,0.0118,0.5199,0.0511,au,au,0.34
88403812,6444,91398,14,37,5.2857,0.2033,15.3846,0.0318,0.8667,0.0,0.0472,0.4412,0.0079,au,au,0.43
1543544093896110081,175410,2207448,91,253,5.5604,0.0309,17.7778,0.0026,3.1522,1.4378,0.003,0.1262,0.007,au,au,0.46
1550709261428072449,27892,424888,18,27,3.0,0.0882,52.9412,0.0112,2.6875,6.963,0.0016,0.0147,0.0019,au,au,0.45
12439512,25438,304352,53,258,9.7358,0.0936,28.8462,0.0173,2.6026,10.5,0.0178,0.8998,0.0003,au,au,0.37
377051958,330933,5372911,279,1831,13.1254,0.0236,15.8273,0.0104,1.9888,8.8794,0.006,0.4425,0.0312,au,au,0.38
1563157676921880576,34709,401397,30,54,3.6,0.0621,41.3793,0.0031,2.34,25.0,0.0042,0.0954,0.0066,au,au,0.44
1018092406183321600,515108,7147721,408,2450,12.0098,0.0148,20.8845,0.0042,2.9288,22.3236,0.0029,0.391,0.0195,au,au,0.4
2838603834,63495,1052774,179,1096,12.2458,0.0344,15.1685,0.0093,0.8521,2.2685,0.0062,0.5775,0.018,au,au,0.39
581541782,97429,1575754,104,942,18.1154,0.0879,5.8252,0.0517,1.5494,9.9367,0.0139,0.5107,0.0171,au,au,0.42
951224700,65356,1158393,76,127,3.3421,0.0223,62.6667,0.0021,1.0833,7.6667,0.0025,0.1531,0.0049,au,au,0.4
1570540506320601090,4499,55522,5,7,2.8,0.35,50.0,0.0225,2.6,0.2235,0.05,0.25,0.0226,au,au,0.41
1520644593041440768,11685,218242,31,53,3.4194,0.057,36.6667,0.008,0.44,6.3333,0.0033,0.0667,0.0062,au,au,0.44
282450171,122256,2194643,76,245,6.4474,0.043,32.0,0.0071,1.9719,0.5628,0.0049,0.306,0.0065,au,au,0.42
1363750507152465922,114997,2109897,60,207,6.9,0.0585,8.4746,0.0116,1.3375,2.0823,0.0128,0.2478,0.0181,au,au,0.44
1114066952,180671,2257722,95,275,5.7895,0.0308,22.3404,0.0043,3.2747,9.2333,0.0011,0.0227,0.0004,au,au,0.48
1319107845816602624,71953,1130585,67,674,20.1194,0.1524,9.0909,0.0292,2.0207,9.1291,0.0074,0.1788,0.0026,au,au,0.49
1918023415,43568,896571,78,286,7.3333,0.0476,18.1818,0.0106,1.3212,18.8182,0.0122,0.4626,0.0197,au,au,0.4
245198804,219544,3338248,230,871,7.5739,0.0165,19.214,0.008,1.6222,8.9752,0.0064,0.4715,0.0312,au,au,0.37
1467110304819527682,57552,1084587,34,117,6.8824,0.1043,6.0606,0.0211,1.0412,1.7231,0.0115,0.2803,0.0067,au,au,0.46
